_id,Anno,Quartiere,NIL,Uomini,Donne,Totale,Minori,Stranieri,Famiglie,Famiglie unipersonali,80 e più soli,Nati,Nati fuori dal matrimonio,Nati con almeno un genitore straniero,Morti,Emigrati,Immigrati,80 e più,65 e più,Prima cittadinanza,residenti prima cittadinanza,Seconda cittadinanza,residenti seconda cittadinanza,Terza cittadinanza,residenti terza cittadinanza,Scuola dell'infanzia (numero),Scuola primaria (numero),Scuola secondaria di primo grado (numero),Area (metri quadrati),fermate linee superficie,fermate metro,piste ciclabili (m)
120,2012,Gratosoglio - Ticinello,41,9078,9936,19014,3038,2605,8770,3258,575,104,49,31,209,498,425,1446,5652,Egitto,419,Filippine,305,Marocco,255,3,4,2,"3312818,32",37,0,2153
121,2012,Greco,13,7349,7800,15149,2309,3640,7398,3299,593,123,42,52,129,464,629,1224,3441,Filippine,740,"Cinese, Repubblica Popolare",508,Egitto,422,2,2,2,"1768669,43",35,0,3460
122,2012,Guastalla,4,7016,8296,15312,2284,2193,7549,3343,522,111,38,21,162,486,631,1125,3650,Filippine,441,Sri Lanka (ex Ceylon),347,Perù,122,6,7,9,"1548020,74",52,2,0
123,2012,Isola,11,10963,11671,22634,3179,4433,11133,4974,736,213,88,64,195,723,968,1498,4732,Egitto,647,"Cinese, Repubblica Popolare",623,Filippine,553,3,2,2,"1322966,34",53,1,285
124,2012,Lambrate,23,5170,5365,10535,1772,2162,5060,2324,294,124,46,38,133,359,420,675,2003,Filippine,418,Egitto,341,Perù,173,4,4,2,"3096861,87",39,0,1595
125,2012,Lodi - Corvetto,35,17604,18684,36288,5104,9040,18132,8245,1449,298,122,149,470,1018,1461,2977,8950,Filippine,1511,Egitto,1491,Perù,786,9,7,4,"3639092,52",54,4,1680
126,2012,Lorenteggio,53,6185,7068,13253,2024,1819,6254,2429,634,81,26,27,211,308,350,1428,3826,Egitto,394,Filippine,199,Perù,144,5,4,2,"2635327,1",44,0,2100
127,2012,Loreto,20,22936,21510,44446,6213,15444,21639,9764,1165,402,142,223,306,1464,2500,2391,7799,Egitto,2944,Filippine,2755,"Cinese, Repubblica Popolare",1431,8,5,3,"1747565,53",56,2,640
128,2012,Maciachini - Maggiolina,12,12488,13896,26384,3761,5373,13278,6120,1047,209,76,85,235,718,952,2119,6259,Filippine,1045,"Cinese, Repubblica Popolare",759,Egitto,537,9,3,2,"1674980,95",51,1,458
129,2012,Magenta - S. Vittore,7,8129,9532,17661,3039,2287,8495,3476,580,134,38,21,160,563,603,1203,3868,Filippine,384,Francia,322,Sri Lanka (ex Ceylon),293,6,6,4,"1390146,88",58,4,1840
130,2012,Maggiore - Musocco,72,2384,2535,4919,756,745,2706,1280,179,53,19,12,34,161,121,308,1276,Perù,106,Ecuador,88,Egitto,88,2,2,1,"3030188,71",47,0,0
131,2012,Mecenate,30,8805,10331,19136,2798,2826,9616,4229,1011,142,53,47,263,469,453,2219,5866,Perù,409,Filippine,322,Egitto,278,4,4,2,"3821389,97",86,0,1940
132,2012,Muggiano,54,1525,1540,3065,754,204,1333,513,37,45,14,6,13,72,84,62,308,Egitto,35,Ecuador,30,Perù,23,1,1,0,"444218,42",7,0,1040
